Calculation result

      time (s)         Distance (m)
    1714.88           14409985.73
    1715.11           14413851.33
    1715.34           14417717.45
    1715.57           14421584.08
    1715.80           14425451.24
    1716.03           14429318.91
    1716.26           14433187.10
    1716.49           14437055.81
    1716.72           14440925.04
    1716.95           14444794.78
    1717.18           14448665.05
    1717.41           14452535.83
    1717.64           14456407.13
    1717.87           14460278.95
    1718.10           14464151.29
    1718.33           14468024.15
    1718.56           14471897.52
    1718.79           14475771.41
    1719.02           14479645.83
    1719.25           14483520.76
    1719.48           14487396.20
    1719.71           14491272.17
    1719.94           14495148.66
    1720.17           14499025.66
    1720.40           14502903.18
    1720.63           14506781.22
    1720.86           14510659.78
    1721.09           14514538.86
    1721.32           14518418.46
    1721.55           14522298.57
    1721.78           14526179.21
    1722.01           14530060.36
    1722.24           14533942.03
    1722.47           14537824.21
    1722.70           14541706.92
    1722.93           14545590.15
    1723.16           14549473.89
    1723.39           14553358.15
    1723.62           14557242.93
    1723.85           14561128.23
    1724.08           14565014.05
    1724.31           14568900.38
    1724.54           14572787.24
    1724.77           14576674.61
    1725.00           14580562.50
    1725.23           14584450.91
    1725.46           14588339.84
    1725.69           14592229.28
    1725.92           14596119.25
    1726.15           14600009.73
    1726.38           14603900.73
    1726.61           14607792.25
    1726.84           14611684.29
    1727.07           14615576.85
    1727.30           14619469.92
    1727.53           14623363.51
    1727.76           14627257.63
    1727.99           14631152.26
    1728.22           14635047.41
    1728.45           14638943.07
    1728.68           14642839.26
    1728.91           14646735.96
    1729.14           14650633.18
    1729.37           14654530.92
    1729.60           14658429.18
    1729.83           14662327.96
    1730.06           14666227.26
    1730.29           14670127.07
    1730.52           14674027.40
    1730.75           14677928.26
    1730.98           14681829.63
    1731.21           14685731.51
    1731.44           14689633.92
    1731.67           14693536.85
    1731.90           14697440.29
    1732.13           14701344.25
    1732.36           14705248.73
    1732.59           14709153.73
    1732.82           14713059.25
    1733.05           14716965.28
    1733.28           14720871.84
    1733.51           14724778.91
    1733.74           14728686.50
    1733.97           14732594.61
    1734.20           14736503.24
    1734.43           14740412.38
    1734.66           14744322.05
    1734.89           14748232.23
    1735.12           14752142.93
    1735.35           14756054.15
    1735.58           14759965.89
    1735.81           14763878.14
    1736.04           14767790.92
    1736.27           14771704.21
    1736.50           14775618.03
    1736.73           14779532.36
    1736.96           14783447.20
    1737.19           14787362.57
    1737.42           14791278.46
    1737.65           14795194.86
    1737.88           14799111.78
    1738.11           14803029.22
    1738.34           14806947.18
    1738.57           14810865.66
    1738.80           14814784.66
    1739.03           14818704.17
    1739.26           14822624.20
    1739.49           14826544.75
    1739.72           14830465.82
    1739.95           14834387.41
    1740.18           14838309.52
    1740.41           14842232.14
    1740.64           14846155.29
    1740.87           14850078.95
    1741.10           14854003.13
    1741.33           14857927.83
    1741.56           14861853.04
    1741.79           14865778.78
    1742.02           14869705.03
    1742.25           14873631.81
    1742.48           14877559.10
    1742.71           14881486.91
    1742.94           14885415.23
    1743.17           14889344.08
    1743.40           14893273.44
    1743.63           14897203.33
    1743.86           14901133.73
    1744.09           14905064.65
    1744.32           14908996.09
    1744.55           14912928.04
    1744.78           14916860.52
    1745.01           14920793.51
    1745.24           14924727.02
    1745.47           14928661.05
    1745.70           14932595.60
    1745.93           14936530.67
    1746.16           14940466.25
    1746.39           14944402.36
    1746.62           14948338.98
    1746.85           14952276.12
    1747.08           14956213.78
    1747.31           14960151.96
    1747.54           14964090.65
    1747.77           14968029.87
    1748.00           14971969.60
    1748.23           14975909.85
    1748.46           14979850.62
    1748.69           14983791.91
    1748.92           14987733.72
    1749.15           14991676.04
    1749.38           14995618.88
    1749.61           14999562.25
    1749.84           15003506.13
    1750.07           15007450.52
    1750.30           15011395.44
    1750.53           15015340.88
    1750.76           15019286.83
    1750.99           15023233.30
    1751.22           15027180.29
    1751.45           15031127.80
    1751.68           15035075.83
    1751.91           15039024.38
    1752.14           15042973.44
    1752.37           15046923.02
    1752.60           15050873.12
    1752.83           15054823.74
    1753.06           15058774.88
    1753.29           15062726.54
    1753.52           15066678.71
    1753.75           15070631.41
    1753.98           15074584.62
    1754.21           15078538.35
    1754.44           15082492.60
    1754.67           15086447.36
    1754.90           15090402.65
    1755.13           15094358.45
    1755.36           15098314.78
    1755.59           15102271.62
    1755.82           15106228.97
    1756.05           15110186.85
    1756.28           15114145.25
    1756.51           15118104.16
    1756.74           15122063.60
    1756.97           15126023.55
    1757.20           15129984.02
    1757.43           15133945.00
    1757.66           15137906.51
    1757.89           15141868.54
    1758.12           15145831.08
    1758.35           15149794.14
    1758.58           15153757.72
    1758.81           15157721.82
    1759.04           15161686.44
    1759.27           15165651.57
    1759.50           15169617.23
    1759.73           15173583.40
    1759.96           15177550.09
    1760.19           15181517.30
    1760.42           15185485.02
    1760.65           15189453.27
    1760.88           15193422.03
    1761.11           15197391.32
    1761.34           15201361.12
    1761.57           15205331.44
    1761.80           15209302.28
    1762.03           15213273.63
    1762.26           15217245.51
    1762.49           15221217.90
    1762.72           15225190.81
    1762.95           15229164.24
    1763.18           15233138.19
    1763.41           15237112.66
    1763.64           15241087.64
    1763.87           15245063.15
    1764.10           15249039.17
    1764.33           15253015.71
    1764.56           15256992.77
    1764.79           15260970.35
    1765.02           15264948.44
    1765.25           15268927.06
    1765.48           15272906.19
    1765.71           15276885.84
    1765.94           15280866.01
    1766.17           15284846.70
    1766.40           15288827.90
    1766.63           15292809.63
    1766.86           15296791.87
    1767.09           15300774.63
    1767.32           15304757.91
    1767.55           15308741.71
    1767.78           15312726.03
    1768.01           15316710.86
    1768.24           15320696.22
    1768.47           15324682.09
    1768.70           15328668.48
    1768.93           15332655.39
    1769.16           15336642.82
    1769.39           15340630.76
    1769.62           15344619.23
    1769.85           15348608.21
    1770.08           15352597.71
    1770.31           15356587.73
    1770.54           15360578.27
    1770.77           15364569.33
    1771.00           15368560.90
    1771.23           15372552.99
    1771.46           15376545.60
    1771.69           15380538.73
    1771.92           15384532.38
    1772.15           15388526.55
    1772.38           15392521.24
    1772.61           15396516.44
    1772.84           15400512.16
    1773.07           15404508.40
    1773.30           15408505.16
    1773.53           15412502.44
    1773.76           15416500.23
    1773.99           15420498.55
    1774.22           15424497.38
    1774.45           15428496.73
    1774.68           15432496.60
    1774.91           15436496.99
    1775.14           15440497.90
    1775.37           15444499.32
    1775.60           15448501.26
    1775.83           15452503.73
    1776.06           15456506.71
    1776.29           15460510.20
    1776.52           15464514.22
    1776.75           15468518.76
    1776.98           15472523.81
    1777.21           15476529.38
    1777.44           15480535.47
    1777.67           15484542.08
    1777.90           15488549.21
    1778.13           15492556.85
    1778.36           15496565.02
    1778.59           15500573.70
    1778.82           15504582.90
    1779.05           15508592.62
    1779.28           15512602.86
    1779.51           15516613.62
    1779.74           15520624.89
    1779.97           15524636.68
    1780.20           15528649.00
    1780.43           15532661.83
    1780.66           15536675.17
    1780.89           15540689.04
    1781.12           15544703.43
    1781.35           15548718.33
    1781.58           15552733.75
    1781.81           15556749.69
    1782.04           15560766.15
    1782.27           15564783.13
    1782.50           15568800.63
    1782.73           15572818.64
    1782.96           15576837.17
    1783.19           15580856.22
    1783.42           15584875.79
    1783.65           15588895.88
    1783.88           15592916.49
    1784.11           15596937.61
    1784.34           15600959.25
    1784.57           15604981.42
    1784.80           15609004.10
    1785.03           15613027.29
    1785.26           15617051.01
    1785.49           15621075.25
    1785.72           15625100.00
    1785.95           15629125.27
    1786.18           15633151.06
    1786.41           15637177.37
    1786.64           15641204.20
    1786.87           15645231.54
    1787.10           15649259.41
    1787.33           15653287.79
    1787.56           15657316.69
    1787.79           15661346.11
    1788.02           15665376.05
    1788.25           15669406.51
    1788.48           15673437.48
    1788.71           15677468.97
    1788.94           15681500.99
    1789.17           15685533.52
    1789.40           15689566.56
    1789.63           15693600.13
    1789.86           15697634.22
    1790.09           15701668.82
    1790.32           15705703.94
    1790.55           15709739.58
    1790.78           15713775.74
    1791.01           15717812.42
    1791.24           15721849.61
    1791.47           15725887.33
    1791.70           15729925.56
    1791.93           15733964.31
    1792.16           15738003.58
    1792.39           15742043.37
    1792.62           15746083.68
    1792.85           15750124.50
    1793.08           15754165.84
    1793.31           15758207.70
    1793.54           15762250.08
    1793.77           15766292.98
    1794.00           15770336.40
    1794.23           15774380.34
    1794.46           15778424.79
    1794.69           15782469.76
    1794.92           15786515.25
    1795.15           15790561.26
    1795.38           15794607.79
    1795.61           15798654.83
    1795.84           15802702.40
    1796.07           15806750.48
    1796.30           15810799.08
    1796.53           15814848.20
    1796.76           15818897.84
    1796.99           15822947.99
    1797.22           15826998.67
    1797.45           15831049.86
    1797.68           15835101.57
    1797.91           15839153.80
    1798.14           15843206.55
    1798.37           15847259.82
    1798.60           15851313.60
    1798.83           15855367.91
    1799.06           15859422.73
    1799.29           15863478.07
    1799.52           15867533.93
    1799.75           15871590.31
    1799.98           15875647.20
    1800.21           15879704.62
    1800.44           15883762.55
    1800.67           15887821.00
    1800.90           15891879.97
    1801.13           15895939.46
    1801.36           15899999.46
    1801.59           15904059.99
    1801.82           15908121.03
    1802.05           15912182.59
    1802.28           15916244.67
    1802.51           15920307.27
    1802.74           15924370.39
    1802.97           15928434.02
    1803.20           15932498.18
    1803.43           15936562.85
    1803.66           15940628.04
    1803.89           15944693.75
    1804.12           15948759.97
    1804.35           15952826.72
    1804.58           15956893.98
    1804.81           15960961.77
    1805.04           15965030.07
    1805.27           15969098.89
    1805.50           15973168.23
    1805.73           15977238.08
    1805.96           15981308.46
    1806.19           15985379.35
    1806.42           15989450.76
    1806.65           15993522.69
    1806.88           15997595.14
    1807.11           16001668.11
    1807.34           16005741.59
    1807.57           16009815.59
    1807.80           16013890.12
    1808.03           16017965.16
    1808.26           16022040.72
    1808.49           16026116.79
    1808.72           16030193.39
    1808.95           16034270.50
    1809.18           16038348.13
    1809.41           16042426.29
    1809.64           16046504.96
    1809.87           16050584.14
    1810.10           16054663.85
    1810.33           16058744.07
    1810.56           16062824.82
    1810.79           16066906.08
    1811.02           16070987.86
    1811.25           16075070.16
    1811.48           16079152.97
    1811.71           16083236.31
    1811.94           16087320.16
    1812.17           16091404.53
    1812.40           16095489.42
    1812.63           16099574.83
    1812.86           16103660.76
    1813.09           16107747.21
    1813.32           16111834.17
    1813.55           16115921.65
    1813.78           16120009.65
    1814.01           16124098.17
    1814.24           16128187.21
    1814.47           16132276.77
    1814.70           16136366.84
    1814.93           16140457.43
    1815.16           16144548.55
    1815.39           16148640.18
    1815.62           16152732.32
    1815.85           16156824.99
    1816.08           16160918.18
    1816.31           16165011.88
    1816.54           16169106.10
    1816.77           16173200.84
    1817.00           16177296.10
    1817.23           16181391.88
    1817.46           16185488.17
    1817.69           16189584.99
    1817.92           16193682.32
    1818.15           16197780.17
    1818.38           16201878.54
    1818.61           16205977.43
    1818.84           16210076.83
    1819.07           16214176.76
    1819.30           16218277.20
    1819.53           16222378.16
    1819.76           16226479.64
    1819.99           16230581.64
    1820.22           16234684.16
    1820.45           16238787.19
    1820.68           16242890.75
    1820.91           16246994.82
    1821.14           16251099.41
    1821.37           16255204.52
    1821.60           16259310.14
    1821.83           16263416.29
    1822.06           16267522.95
    1822.29           16271630.14
    1822.52           16275737.84
    1822.75           16279846.06
    1822.98           16283954.79
    1823.21           16288064.05
    1823.44           16292173.82
    1823.67           16296284.12
    1823.90           16300394.93
    1824.13           16304506.26
    1824.36           16308618.11
    1824.59           16312730.47
    1824.82           16316843.36
    1825.05           16320956.76
    1825.28           16325070.68
    1825.51           16329185.12
    1825.74           16333300.08
    1825.97           16337415.56
    1826.20           16341531.56
    1826.43           16345648.07
    1826.66           16349765.10
    1826.89           16353882.65
    1827.12           16358000.72
    1827.35           16362119.31
    1827.58           16366238.42
    1827.81           16370358.04
    1828.04           16374478.18
    1828.27           16378598.85
    1828.50           16382720.03
    1828.73           16386841.72
    1828.96           16390963.94
    1829.19           16395086.67
    1829.42           16399209.93
    1829.65           16403333.70
    1829.88           16407457.99
    1830.11           16411582.80
    1830.34           16415708.13
    1830.57           16419833.97
    1830.80           16423960.34
    1831.03           16428087.22
    1831.26           16432214.62
    1831.49           16436342.54
    1831.72           16440470.98
    1831.95           16444599.93
    1832.18           16448729.41
    1832.41           16452859.40
    1832.64           16456989.91
    1832.87           16461120.94
    1833.10           16465252.49
    1833.33           16469384.56
    1833.56           16473517.14
    1833.79           16477650.24
    1834.02           16481783.87
    1834.25           16485918.01
    1834.48           16490052.66
    1834.71           16494187.84
    1834.94           16498323.54
    1835.17           16502459.75
    1835.40           16506596.48
    1835.63           16510733.73
    1835.86           16514871.50
    1836.09           16519009.79
    1836.32           16523148.60
    1836.55           16527287.92
    1836.78           16531427.77
    1837.01           16535568.13
    1837.24           16539709.01
    1837.47           16543850.40
    1837.70           16547992.32
    1837.93           16552134.76
    1838.16           16556277.71
    1838.39           16560421.18
    1838.62           16564565.17
    1838.85           16568709.68
    1839.08           16572854.71
    1839.31           16577000.25
    1839.54           16581146.32
    1839.77           16585292.90
    1840.00           16589440.00
    1840.23           16593587.62
    1840.46           16597735.76
    1840.69           16601884.41
    1840.92           16606033.59
    1841.15           16610183.28
    1841.38           16614333.49
    1841.61           16618484.22
    1841.84           16622635.47
    1842.07           16626787.24
    1842.30           16630939.52
    1842.53           16635092.32
    1842.76           16639245.65
    1842.99           16643399.49
    1843.22           16647553.85
    1843.45           16651708.72
    1843.68           16655864.12
    1843.91           16660020.03
    1844.14           16664176.46
    1844.37           16668333.41
    1844.60           16672490.88
    1844.83           16676648.87
    1845.06           16680807.38
    1845.29           16684966.40
    1845.52           16689125.94
    1845.75           16693286.01
    1845.98           16697446.59
    1846.21           16701607.68
    1846.44           16705769.30
    1846.67           16709931.44
    1846.90           16714094.09
    1847.13           16718257.26
    1847.36           16722420.95
    1847.59           16726585.16
    1847.82           16730749.89
    1848.05           16734915.13
    1848.28           16739080.90
    1848.51           16743247.18
    1848.74           16747413.98
    1848.97           16751581.30
    1849.20           16755749.14
    1849.43           16759917.49
    1849.66           16764086.37
    1849.89           16768255.76
    1850.12           16772425.67
    1850.35           16776596.10
    1850.58           16780767.05
    1850.81           16784938.51
    1851.04           16789110.50
    1851.27           16793283.00
    1851.50           16797456.03
    1851.73           16801629.57
    1851.96           16805803.62
    1852.19           16809978.20
    1852.42           16814153.30
    1852.65           16818328.91
    1852.88           16822505.04
    1853.11           16826681.69
    1853.34           16830858.86
    1853.57           16835036.55
    1853.80           16839214.76
    1854.03           16843393.48
    1854.26           16847572.72
    1854.49           16851752.48
    1854.72           16855932.76
    1854.95           16860113.56
    1855.18           16864294.88
    1855.41           16868476.71
    1855.64           16872659.07
    1855.87           16876841.94
    1856.10           16881025.33
    1856.33           16885209.24
    1856.56           16889393.66
    1856.79           16893578.61
    1857.02           16897764.07
    1857.25           16901950.06
    1857.48           16906136.56
    1857.71           16910323.58
    1857.94           16914511.11
    1858.17           16918699.17
    1858.40           16922887.74
    1858.63           16927076.84
    1858.86           16931266.45
    1859.09           16935456.58
    1859.32           16939647.23
    1859.55           16943838.39
    1859.78           16948030.08
    1860.01           16952222.28
    1860.24           16956415.00
    1860.47           16960608.24
    1860.70           16964802.00
    1860.93           16968996.28
    1861.16           16973191.07
    1861.39           16977386.39
    1861.62           16981582.22
    1861.85           16985778.57
    1862.08           16989975.44
    1862.31           16994172.83
    1862.54           16998370.73
    1862.77           17002569.16
    1863.00           17006768.10
    1863.23           17010967.56
    1863.46           17015167.54
    1863.69           17019368.04
    1863.92           17023569.06
    1864.15           17027770.59
    1864.38           17031972.64
    1864.61           17036175.22
    1864.84           17040378.31
    1865.07           17044581.91
    1865.30           17048786.04
    1865.53           17052990.69
    1865.76           17057195.85
    1865.99           17061401.53
    1866.22           17065607.73
    1866.45           17069814.45
    1866.68           17074021.69
    1866.91           17078229.45
    1867.14           17082437.72
    1867.37           17086646.51
    1867.60           17090855.82
    1867.83           17095065.65
    1868.06           17099276.00
    1868.29           17103486.87
    1868.52           17107698.25
    1868.75           17111910.16
    1868.98           17116122.58
    1869.21           17120335.52
    1869.44           17124548.98
    1869.67           17128762.95
    1869.90           17132977.45
    1870.13           17137192.46
    1870.36           17141408.00
    1870.59           17145624.05
    1870.82           17149840.61
    1871.05           17154057.70
    1871.28           17158275.31
    1871.51           17162493.43
    1871.74           17166712.08
    1871.97           17170931.24
    1872.20           17175150.92
    1872.43           17179371.11
    1872.66           17183591.83
    1872.89           17187813.07
    1873.12           17192034.82
    1873.35           17196257.09
    1873.58           17200479.88
    1873.81           17204703.19
    1874.04           17208927.02
    1874.27           17213151.36
    1874.50           17217376.23
    1874.73           17221601.61
    1874.96           17225827.51
    1875.19           17230053.93
    1875.42           17234280.86
    1875.65           17238508.32
    1875.88           17242736.29
    1876.11           17246964.79
    1876.34           17251193.80
    1876.57           17255423.33
    1876.80           17259653.38
    1877.03           17263883.94
    1877.26           17268115.03
    1877.49           17272346.63
    1877.72           17276578.75
    1877.95           17280811.39
    1878.18           17285044.55
    1878.41           17289278.23
    1878.64           17293512.42
    1878.87           17297747.14
    1879.10           17301982.37
    1879.33           17306218.12
    1879.56           17310454.39
    1879.79           17314691.18
    1880.02           17318928.48
    1880.25           17323166.31
    1880.48           17327404.65
    1880.71           17331643.51
    1880.94           17335882.89
    1881.17           17340122.79
    1881.40           17344363.20
    1881.63           17348604.14
    1881.86           17352845.59
    1882.09           17357087.56
    1882.32           17361330.05
    1882.55           17365573.06
    1882.78           17369816.59
    1883.01           17374060.63
    1883.24           17378305.20
    1883.47           17382550.28
    1883.70           17386795.88
    1883.93           17391042.00
    1884.16           17395288.64
    1884.39           17399535.79
    1884.62           17403783.47
    1884.85           17408031.66
    1885.08           17412280.37
    1885.31           17416529.60
    1885.54           17420779.35
    1885.77           17425029.62
    1886.00           17429280.40
    1886.23           17433531.70
    1886.46           17437783.52
    1886.69           17442035.86
    1886.92           17446288.72
    1887.15           17450542.10
    1887.38           17454796.00
    1887.61           17459050.41
    1887.84           17463305.34
    1888.07           17467560.79
    1888.30           17471816.76
    1888.53           17476073.25
    1888.76           17480330.25
    1888.99           17484587.78
    1889.22           17488845.82
    1889.45           17493104.38
    1889.68           17497363.46
    1889.91           17501623.06
    1890.14           17505883.18
    1890.37           17510143.81
    1890.60           17514404.96
    1890.83           17518666.64
    1891.06           17522928.83
    1891.29           17527191.53
    1891.52           17531454.76
    1891.75           17535718.51
    1891.98           17539982.77
    1892.21           17544247.55
    1892.44           17548512.85
    1892.67           17552778.67
    1892.90           17557045.01
    1893.13           17561311.86
    1893.36           17565579.24
    1893.59           17569847.13
    1893.82           17574115.54
    1894.05           17578384.47
    1894.28           17582653.92
    1894.51           17586923.89
    1894.74           17591194.37
    1894.97           17595465.37
    1895.20           17599736.90
    1895.43           17604008.94
    1895.66           17608281.49
    1895.89           17612554.57
    1896.12           17616828.17
    1896.35           17621102.28
    1896.58           17625376.91
    1896.81           17629652.06
    1897.04           17633927.73
    1897.27           17638203.92
    1897.50           17642480.63
    1897.73           17646757.85
    1897.96           17651035.59
    1898.19           17655313.85
    1898.42           17659592.63
    1898.65           17663871.93
    1898.88           17668151.75
    1899.11           17672432.08
    1899.34           17676712.93
    1899.57           17680994.31
    1899.80           17685276.20
    1900.03           17689558.60
    1900.26           17693841.53
    1900.49           17698124.98
    1900.72           17702408.94
    1900.95           17706693.42
    1901.18           17710978.42
    1901.41           17715263.94
    1901.64           17719549.98
    1901.87           17723836.53
    1902.10           17728123.61
    1902.33           17732411.20
    1902.56           17736699.31
    1902.79           17740987.94
    1903.02           17745277.09
    1903.25           17749566.76
    1903.48           17753856.94
    1903.71           17758147.64
    1903.94           17762438.87
    1904.17           17766730.61
    1904.40           17771022.86
    1904.63           17775315.64
    1904.86           17779608.94
    1905.09           17783902.75
    1905.32           17788197.08
    1905.55           17792491.93
    1905.78           17796787.30
    1906.01           17801083.19
    1906.24           17805379.59
    1906.47           17809676.52
    1906.70           17813973.96
    1906.93           17818271.92
    1907.16           17822570.40
    1907.39           17826869.40
    1907.62           17831168.92
    1907.85           17835468.95
    1908.08           17839769.50
    1908.31           17844070.57
    1908.54           17848372.16
    1908.77           17852674.27
    1909.00           17856976.90
    1909.23           17861280.05
    1909.46           17865583.71
    1909.69           17869887.89
    1909.92           17874192.59
    1910.15           17878497.81
    1910.38           17882803.55
    1910.61           17887109.80
    1910.84           17891416.58
    1911.07           17895723.87
    1911.30           17900031.68
    1911.53           17904340.01
    1911.76           17908648.86
    1911.99           17912958.22
    1912.22           17917268.11
    1912.45           17921578.51
    1912.68           17925889.43
    1912.91           17930200.87
    1913.14           17934512.83
    1913.37           17938825.31
    1913.60           17943138.30
    1913.83           17947451.82
    1914.06           17951765.85
    1914.29           17956080.40
    1914.52           17960395.47
    1914.75           17964711.06
    1914.98           17969027.16
    1915.21           17973343.79
    1915.44           17977660.93
    1915.67           17981978.59
    1915.90           17986296.77
    1916.13           17990615.47
    1916.36           17994934.68
    1916.59           17999254.42
    1916.82           18003574.67
    1917.05           18007895.44
    1917.28           18012216.73
    1917.51           18016538.54
    1917.74           18020860.87
    1917.97           18025183.71
    1918.20           18029507.08
    1918.43           18033830.96
    1918.66           18038155.36
    1918.89           18042480.28
    1919.12           18046805.71
    1919.35           18051131.67
    1919.58           18055458.14
    1919.81           18059785.14
    1920.04           18064112.65
    1920.27           18068440.68
    1920.50           18072769.23
    1920.73           18077098.29
    1920.96           18081427.88
    1921.19           18085757.98
    1921.42           18090088.60
    1921.65           18094419.74
    1921.88           18098751.40
    1922.11           18103083.58
    1922.34           18107416.27
    1922.57           18111749.48
    1922.80           18116083.22
    1923.03           18120417.47
    1923.26           18124752.24
    1923.49           18129087.52
    1923.72           18133423.33
    1923.95           18137759.65
    1924.18           18142096.49
    1924.41           18146433.86
    1924.64           18150771.74
    1924.87           18155110.13
    1925.10           18159449.05
    1925.33           18163788.48
    1925.56           18168128.44
    1925.79           18172468.91
    1926.02           18176809.90
    1926.25           18181151.41
    1926.48           18185493.43
    1926.71           18189835.98
    1926.94           18194179.04
    1927.17           18198522.62
    1927.40           18202866.72
    1927.63           18207211.34
    1927.86           18211556.48
    1928.09           18215902.14
    1928.32           18220248.31
    1928.55           18224595.00
    1928.78           18228942.21
    1929.01           18233289.94
    1929.24           18237638.19
    1929.47           18241986.96
    1929.70           18246336.24
    1929.93           18250686.04
    1930.16           18255036.37
    1930.39           18259387.21
    1930.62           18263738.56
    1930.85           18268090.44
    1931.08           18272442.84
    1931.31           18276795.75
    1931.54           18281149.18
    1931.77           18285503.13
    1932.00           18289857.60
    1932.23           18294212.59
    1932.46           18298568.09
    1932.69           18302924.12
    1932.92           18307280.66
    1933.15           18311637.72
    1933.38           18315995.30
    1933.61           18320353.40
    1933.84           18324712.01
    1934.07           18329071.15
    1934.30           18333430.80
    1934.53           18337790.97
    1934.76           18342151.66
    1934.99           18346512.87
    1935.22           18350874.60
    1935.45           18355236.84
    1935.68           18359599.61
    1935.91           18363962.89
    1936.14           18368326.69
    1936.37           18372691.01
    1936.60           18377055.84
    1936.83           18381421.20
    1937.06           18385787.07
    1937.29           18390153.47
    1937.52           18394520.38
    1937.75           18398887.81
    1937.98           18403255.75
    1938.21           18407624.22
    1938.44           18411993.20
    1938.67           18416362.71
    1938.90           18420732.73
    1939.13           18425103.27
    1939.36           18429474.33
    1939.59           18433845.90
    1939.82           18438218.00
    1940.05           18442590.61
    1940.28           18446963.74
    1940.51           18451337.39
    1940.74           18455711.56
    1940.97           18460086.25
    1941.20           18464461.46
    1941.43           18468837.18
    1941.66           18473213.42
    1941.89           18477590.18
    1942.12           18481967.46
    1942.35           18486345.26
    1942.58           18490723.58
    1942.81           18495102.41
    1943.04           18499481.76
    1943.27           18503861.64
    1943.50           18508242.03
    1943.73           18512622.93
    1943.96           18517004.36
    1944.19           18521386.30
    1944.42           18525768.77
    1944.65           18530151.75
    1944.88           18534535.25
    1945.11           18538919.27
    1945.34           18543303.81
    1945.57           18547688.86
    1945.80           18552074.44
    1946.03           18556460.53
    1946.26           18560847.14
    1946.49           18565234.27
    1946.72           18569621.92
    1946.95           18574010.08
    1947.18           18578398.77
    1947.41           18582787.97
    1947.64           18587177.69
    1947.87           18591567.93
    1948.10           18595958.69
    1948.33           18600349.97
    1948.56           18604741.76
    1948.79           18609134.07
    1949.02           18613526.91
    1949.25           18617920.26
    1949.48           18622314.12
    1949.71           18626708.51
    1949.94           18631103.42
    1950.17           18635498.84
    1950.40           18639894.78
    1950.63           18644291.24
    1950.86           18648688.22
    1951.09           18653085.72
    1951.32           18657483.74
    1951.55           18661882.27
    1951.78           18666281.33
    1952.01           18670680.90
    1952.24           18675080.99
    1952.47           18679481.59
    1952.70           18683882.72
    1952.93           18688284.37
    1953.16           18692686.53
    1953.39           18697089.21
    1953.62           18701492.41
    1953.85           18705896.13
    1954.08           18710300.37
    1954.31           18714705.12
    1954.54           18719110.40
    1954.77           18723516.19
    1955.00           18727922.50
    1955.23           18732329.33
    1955.46           18736736.68
    1955.69           18741144.54
    1955.92           18745552.93
    1956.15           18749961.83
    1956.38           18754371.25
    1956.61           18758781.19
    1956.84           18763191.65
    1957.07           18767602.63
    1957.30           18772014.12
    1957.53           18776426.13
    1957.76           18780838.67
    1957.99           18785251.72
    1958.22           18789665.29
    1958.45           18794079.37
    1958.68           18798493.98
    1958.91           18802909.10
    1959.14           18807324.74
    1959.37           18811740.90
    1959.60           18816157.58
    1959.83           18820574.78
    1960.06           18824992.50
    1960.29           18829410.73
    1960.52           18833829.48
    1960.75           18838248.76
    1960.98           18842668.55
    1961.21           18847088.85
    1961.44           18851509.68
    1961.67           18855931.03
    1961.90           18860352.89
    1962.13           18864775.27
    1962.36           18869198.17
    1962.59           18873621.59
    1962.82           18878045.53
    1963.05           18882469.98
    1963.28           18886894.96
    1963.51           18891320.45
    1963.74           18895746.46
    1963.97           18900172.99
    1964.20           18904600.04
    1964.43           18909027.60
    1964.66           18913455.69
    1964.89           18917884.29
    1965.12           18922313.41
    1965.35           18926743.05
    1965.58           18931173.21
    1965.81           18935603.88
    1966.04           18940035.08
    1966.27           18944466.79
    1966.50           18948899.03
    1966.73           18953331.78
    1966.96           18957765.04
    1967.19           18962198.83
    1967.42           18966633.14
    1967.65           18971067.96
    1967.88           18975503.30
    1968.11           18979939.16
    1968.34           18984375.54
    1968.57           18988812.44
    1968.80           18993249.86
    1969.03           18997687.79
    1969.26           19002126.24
    1969.49           19006565.21
    1969.72           19011004.70
    1969.95           19015444.71
    1970.18           19019885.24
    1970.41           19024326.28
    1970.64           19028767.85
    1970.87           19033209.93
    1971.10           19037652.53
    1971.33           19042095.65
    1971.56           19046539.28
    1971.79           19050983.44
    1972.02           19055428.11
    1972.25           19059873.31
    1972.48           19064319.02
    1972.71           19068765.25
    1972.94           19073211.99
    1973.17           19077659.26
    1973.40           19082107.04
    1973.63           19086555.35
    1973.86           19091004.17
    1974.09           19095453.51
    1974.32           19099903.37
    1974.55           19104353.74
    1974.78           19108804.64
    1975.01           19113256.05
    1975.24           19117707.98
    1975.47           19122160.43
    1975.70           19126613.40
    1975.93           19131066.89
    1976.16           19135520.89
    1976.39           19139975.42
    1976.62           19144430.46
    1976.85           19148886.02
    1977.08           19153342.10
    1977.31           19157798.70
    1977.54           19162255.81
    1977.77           19166713.45
    1978.00           19171171.60
    1978.23           19175630.27
    1978.46           19180089.46
    1978.69           19184549.17
    1978.92           19189009.40
    1979.15           19193470.14
    1979.38           19197931.40
    1979.61           19202393.19
    1979.84           19206855.49
    1980.07           19211318.30
    1980.30           19215781.64
    1980.53           19220245.50
    1980.76           19224709.87
    1980.99           19229174.76
    1981.22           19233640.17
    1981.45           19238106.10
    1981.68           19242572.55
    1981.91           19247039.52
    1982.14           19251507.00
    1982.37           19255975.00
    1982.60           19260443.52
